Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
85998,1815,1950,198308,30911,31933,1345,1.3862943611198906
228800,2382,1677,54555,92391,39000,1940,0.0
62000,738,1524,102000,12600,46791,1295,0.0
53800,3573,1253,179000,81044,50347,1850,1.0986122886681098
270000,3082,1642,112390,122630,44000,2220,0.0
58800,1196,795,102831,29683,60001,1610,0.6931471805599453
68000,392,1133,61730,22452,42902,1165,0.6931471805599453
31300,806,798,144000,22083,18652,1377,1.0986122886681098
215000,1202,2464,7550,55854,35001,1640,0.0
248800,8144,3293,85000,97182,109643,1730,1.791759469228055
175000,2384,1337,111600,87886,53001,1770,0.6931471805599453
118000,740,1673,88200,37480,37605,1425,0.6931471805599453
179800,2362,972,71100,115517,49000,1900,0.0
63300,1815,1923,168000,25948,31335,1530,0.0
40800,682,976,136777,16622,55200,1321,1.0986122886681098
77800,1677,2198,149201,22003,37502,1380,1.3862943611198906
81888,2120,642,113000,54770,58109,1730,1.0986122886681098
147998,740,2044,55312,35914,39401,1490,0.0
222555,684,3502,900,36835,92000,1500,0.0
858800,7000,2439,7200,265996,32500,2437,0.0
46888,684,734,128000,26870,59889,1360,0.0
129998,624,1827,87889,26038,35943,1572,0.0
204888,586,2468,27000,35445,37109,1385,0.0
132800,1202,1127,113831,57757,49000,1615,0.0
191800,2382,1832,102000,67295,31307,1845,0.0
77800,1039,2192,158154,37434,30574,1255,1.791759469228055
49500,744,947,159000,15849,47889,1480,0.0
154000,742,2738,45000,35407,61190,1428,0.0
957888,3922,3531,66,158434,108006,2595,0.0
123800,3094,2742,151185,76947,47316,1875,1.791759469228055
1510000,5834,3435,36,268823,110000,1450,0.0
111800,662,2282,80620,18674,34001,1110,0.0
148000,2382,947,170200,75114,38610,1940,0.0
258000,2382,1893,65400,91812,31101,1940,0.0
343000,2382,3041,2500,71226,93590,1875,0.0
204888,1200,1277,54200,72368,53300,1365,1.0986122886681098
53800,1026,1645,165210,16847,38655,1313,1.0986122886681098
46800,1202,240,129000,49580,67304,1680,0.6931471805599453
56998,1461,1675,153778,51263,38712,1540,1.6094379124341003
76800,682,1857,88000,14466,25000,1310,0.6931471805599453
42800,1113,1336,157000,15245,50625,1115,0.6931471805599453
223800,1194,3289,19000,33340,108003,1678,0.0
18800,1369,433,155000,20987,19657,1350,1.0986122886681098
53888,742,973,98000,26753,49156,1320,0.6931471805599453
93800,684,1369,88988,32342,50001,1430,0.6931471805599453
59800,742,763,85000,19491,53334,1249,1.0986122886681098
1750000,3940,3562,47,364161,105459,2295,0.0
36800,959,977,118000,11164,22636,1267,1.0986122886681098
43500,620,576,70591,26619,77600,1373,1.6094379124341003
107998,1169,2773,125277,54305,49716,1470,1.6094379124341003
139800,586,2195,52150,33032,37000,1410,0.0
198800,1792,1894,64242,48189,31001,2045,0.0
69800,1210,1252,83000,23955,51000,1626,0.6931471805599453
39800,738,732,126782,17892,57301,1295,0.0
68500,974,1216,77000,20133,48556,1350,0.0
99800,682,2460,68000,21881,33000,1130,0.0
