Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
Renault,76800,14220,662,29-Aug-2018,1468,60026,2017,Auto,25888,23315,14641,31997,1461,81.0,1501,2,Hatchback
Kia,21800,12280,1033,20-Jul-2010,644,160000,2009,Manual,5837,12833,12833,16438,1591,92.7,1227,3,Mid-Sized Sedan
Honda,72800,14840,1467,04-Sep-2008,1464,150000,2008,Auto,16368,18625,18625,33377,1799,103.0,1410,4,SUV
Mercedes-Benz,89800,11140,890,13-Jun-2012,2921,128430,2012,Auto,37479,31241,31241,46482,1597,115.0,1500,4,Luxury Sedan
Honda,83800,14320,682,12-Apr-2019,2006,64218,2019,Auto,21525,19838,9838,25689,1496,97.0,1130,1,Stationwagon
Audi,378800,39620,6417,19-Jun-2013,3465,38000,2013,Auto,105128,172516,172516,109948,5204,404.0,1675,2,Sports Car
Mitsubishi,96800,16520,684,30-Oct-2018,1834,58000,2018,Auto,35703,24640,26496,31301,1499,120.0,1490,1,SUV
Nissan,68800,16330,1210,06-Mar-2017,1218,129000,2017,Auto,34408,24596,26435,50621,1997,106.0,1626,2,SUV
Lexus,226800,26370,3100,22-Feb-2021,2676,3000,2021,Auto,85482,51515,64727,50100,3456,232.0,1655,1,Luxury Sedan
Toyota,60800,10620,1026,07-Jul-2009,2065,149000,2009,Auto,17086,12468,12468,29839,1497,80.0,1095,5,Mid-Sized Sedan
Toyota,91800,15180,2293,27-Oct-2009,2196,112000,2009,Auto,22686,34730,34730,37502,2362,125.0,1770,3,MPV
Volvo,110800,20270,1176,31-Jul-2018,1730,100800,2018,Auto,33573,24786,26701,31001,1969,140.0,1695,1,SUV
Toyota,46800,12620,1023,26-Jun-2007,1340,150000,2007,Auto,18780,14124,14360,50625,1496,81.0,1210,4,MPV
